"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
6119099999,"1990-01-01",54.85,9.9833333,19,"KEGNAES, DA",32,8,31.4,8,1021.1,8,999.9,0,1.8,8,5.3,8,8.9,999.9,34.2," ",31.3," ",0.02,"F",999.9,10000
6119099999,"1990-01-02",54.85,9.9833333,19,"KEGNAES, DA",33.2,7,29.2,7,1023.6,6,999.9,0,4.7,7,8.1,7,15,999.9,35.6," ",31.3," ",0.06,"F",999.9,10000
6119099999,"1990-01-03",54.85,9.9833333,19,"KEGNAES, DA",33.6,8,23.9,8,1027.3,7,999.9,0,10.4,8,10.8,8,20,999.9,35.6," ",31.3," ",0,"D",999.9,0
6119099999,"1990-01-04",54.85,9.9833333,19,"KEGNAES, DA",31.8,7,24.8,7,1023.7,7,999.9,0,6.7,7,21.1,7,26,999.9,35.2," ",29.5," ",0,"D",999.9,1000
6119099999,"1990-01-05",54.85,9.9833333,19,"KEGNAES, DA",36,7,35.2,7,1021.6,7,999.9,0,0.3,7,6.7,7,14,999.9,37," ",32.4,"*",0.04,"C",999.9,110000
6119099999,"1990-01-06",54.85,9.9833333,19,"KEGNAES, DA",35.9,8,34,8,1026.7,8,999.9,0,3.4,8,14.3,8,20,999.9,38.5," ",34.5," ",0,"D",999.9,0
6119099999,"1990-01-07",54.85,9.9833333,19,"KEGNAES, DA",35,8,33.4,8,1025.4,8,999.9,0,2.3,8,15.6,8,16.9,999.9,38.5," ",32," ",0.06,"F",999.9,10000
6119099999,"1990-01-08",54.85,9.9833333,19,"KEGNAES, DA",39.4,8,38.5,8,1027.4,8,999.9,0,3.2,8,15.2,8,22,999.9,42.4," ",36.3," ",0.1,"F",999.9,110000
6119099999,"1990-01-09",54.85,9.9833333,19,"KEGNAES, DA",39,7,38,7,1028.6,7,999.9,0,3.8,6,16.1,7,23.9,999.9,42.8," ",35.2,"*",0.01,"E",999.9,110000
6119099999,"1990-01-10",54.85,9.9833333,19,"KEGNAES, DA",40.3,8,39.1,8,1024.6,8,999.9,0,2,8,21.1,8,34,42,44.2," ",35.6," ",0.02,"E",999.9,110000
