"Year","Month","Day","Tmax","Tmin"
1991,4,9,NA,NA
1991,4,10,NA,NA
1991,4,11,17,8
1991,4,12,NA,NA
1991,4,13,NA,NA
1991,4,14,NA,NA
1991,4,15,18,5
1991,4,16,6,5
1991,4,17,NA,NA
1991,4,18,6,2
1991,4,19,NA,NA
1991,4,20,NA,NA
1991,4,21,NA,NA
1991,4,22,7,2
1991,4,23,8,5
1991,4,24,NA,NA
1991,4,25,NA,NA
1991,4,26,NA,NA
1991,4,27,NA,NA
1991,4,28,NA,NA
1991,4,29,NA,NA
1991,4,30,7,5
1991,5,1,NA,NA
1991,5,2,NA,NA
1991,5,3,NA,NA
1991,5,4,NA,NA
1991,5,5,NA,NA
1991,5,6,9,6
1991,5,7,NA,NA
1991,5,8,NA,NA
1991,5,9,NA,NA
1991,5,10,NA,NA
1991,5,11,NA,NA
1991,5,12,NA,NA
1991,5,13,NA,NA
1991,5,14,NA,NA
1991,5,15,NA,NA
1991,5,16,14,6
1991,5,17,NA,NA
1991,5,18,NA,NA
1991,5,19,NA,NA
1991,5,20,NA,NA
1991,5,21,NA,NA
1991,5,22,12,10
1991,5,23,NA,NA
1991,5,24,NA,NA
1991,5,25,NA,NA
1991,5,26,NA,NA
1991,5,27,14,10
1991,5,28,NA,NA
1991,5,29,NA,NA
1991,5,30,NA,NA
1991,5,31,NA,NA
1991,6,1,NA,NA
1991,6,2,NA,NA
1991,6,3,NA,NA
1991,6,4,NA,NA
1991,6,5,12,8
1991,6,6,NA,NA
1991,6,7,NA,NA
1991,6,8,NA,NA
1991,6,9,NA,NA
1991,6,10,NA,NA
1991,6,11,NA,NA
1991,6,12,13,12
1991,6,13,NA,NA
1991,6,14,NA,NA
1991,6,15,NA,NA
1991,6,16,NA,NA
1991,6,17,15,11
1991,6,18,NA,NA
1991,6,19,13,10
1991,6,20,17,10
1991,6,21,19,15
1991,6,22,20,14
1991,6,23,NA,NA
1991,6,24,15,13
1991,6,25,18,12
1991,6,26,NA,NA
1991,6,27,NA,NA
1991,6,28,NA,NA
1991,6,29,14,12
1991,6,30,NA,NA
1991,7,1,NA,NA
1991,7,2,NA,NA
1991,7,3,NA,NA
1991,7,4,NA,NA
1991,7,5,NA,NA
1991,7,6,NA,NA
1991,7,7,NA,NA
1991,7,8,NA,NA
1991,7,9,21,18
1991,7,10,22,16
1991,7,11,24,17
1991,7,12,NA,NA
1991,7,13,NA,NA
1991,7,14,NA,NA
1991,7,15,NA,NA
1991,7,16,NA,NA
1991,7,17,NA,NA
1991,7,18,NA,NA
1991,7,19,NA,NA
1991,7,20,NA,NA
1991,7,21,NA,NA
1991,7,22,NA,NA
1991,7,23,NA,NA
1991,7,24,NA,NA
1991,7,25,NA,NA
1991,7,26,NA,NA
1991,7,27,NA,NA
1991,7,28,NA,NA
1991,7,29,NA,NA
1991,7,30,NA,NA
1991,7,31,NA,NA
1991,8,1,NA,NA
1991,8,2,NA,NA
1991,8,3,NA,NA
1991,8,4,NA,NA
1991,8,5,NA,NA
1991,8,6,NA,NA
1991,8,7,NA,NA
1991,8,8,NA,NA
1991,8,9,NA,NA
1991,8,10,NA,NA
1991,8,11,NA,NA
1991,8,12,NA,NA
1991,8,13,19,14
1991,8,14,23,13
1991,8,15,NA,NA
1991,8,16,NA,NA
1991,8,17,NA,NA
1991,8,18,NA,NA
1991,8,19,17,14
1991,8,20,20,14
1991,8,21,22,13
1991,8,22,NA,NA
1991,8,23,NA,NA
1991,8,24,NA,NA
1991,8,25,NA,NA
1991,8,26,19,15
1991,8,27,NA,NA
1991,8,28,19,13
1991,8,29,NA,NA
1991,8,30,NA,NA
1991,8,31,NA,NA
1991,9,1,NA,NA
1991,9,2,NA,NA
1991,9,3,23,16
1991,9,4,22,13
1991,9,5,NA,NA
1991,9,6,NA,NA
1991,9,7,NA,NA
1991,9,8,NA,NA
1991,9,9,NA,NA
1991,9,10,NA,NA
1991,9,11,NA,NA
1991,9,12,NA,NA
1991,9,13,NA,NA
1991,9,14,NA,NA
1991,9,15,NA,NA
1991,9,16,NA,NA
1991,9,17,NA,NA
1991,9,18,NA,NA
1991,9,19,18,10
1991,9,20,NA,NA
1991,9,21,NA,NA
1991,9,22,NA,NA
1991,9,23,NA,NA
1991,9,24,NA,NA
1991,9,25,NA,NA
1991,9,26,NA,NA
1991,9,27,NA,NA
1991,9,28,NA,NA
1991,9,29,NA,NA
1991,9,30,NA,NA
1991,10,1,NA,NA
1991,10,2,NA,NA
1991,10,3,NA,NA
1991,10,4,NA,NA
1991,10,5,NA,NA
1991,10,6,NA,NA
1991,10,7,NA,NA
1991,10,8,NA,NA
1991,10,9,NA,NA
1991,10,10,NA,NA
1991,10,11,NA,NA
1991,10,12,NA,NA
1991,10,13,NA,NA
1991,10,14,NA,NA
1991,10,15,NA,NA
1991,10,16,NA,NA
1991,10,17,NA,NA
1991,10,18,NA,NA
1991,10,19,NA,NA
1991,10,20,NA,NA
1991,10,21,NA,NA
1991,10,22,NA,NA
1991,10,23,NA,NA
1991,10,24,NA,NA
1991,10,25,NA,NA
1991,10,26,NA,NA
1991,10,27,NA,NA
1991,10,28,NA,NA
1991,10,29,NA,NA
1991,10,30,NA,NA
1991,10,31,NA,NA
1991,11,1,NA,NA
1991,11,2,NA,NA
1991,11,3,NA,NA
1991,11,4,NA,NA
1991,11,5,NA,NA
1991,11,6,NA,NA
1991,11,7,NA,NA
1991,11,8,NA,NA
1991,11,9,NA,NA
1991,11,10,NA,NA
1991,11,11,NA,NA
1991,11,12,NA,NA
1991,11,13,NA,NA
1991,11,14,NA,NA
1991,11,15,NA,NA
1991,11,16,NA,NA
1991,11,17,NA,NA
1991,11,18,NA,NA
1991,11,19,NA,NA
1991,11,20,NA,NA
1991,11,21,NA,NA
1991,11,22,NA,NA
1991,11,23,NA,NA
1991,11,24,NA,NA
1991,11,25,NA,NA
1991,11,26,NA,NA
1991,11,27,NA,NA
1991,11,28,NA,NA
1991,11,29,NA,NA
1991,11,30,NA,NA
1991,12,1,NA,NA
1991,12,2,NA,NA
1991,12,3,NA,NA
1991,12,4,NA,NA
1991,12,5,NA,NA
1991,12,6,NA,NA
1991,12,7,NA,NA
1991,12,8,NA,NA
1991,12,9,NA,NA
1991,12,10,NA,NA
1991,12,11,NA,NA
1991,12,12,NA,NA
1991,12,13,NA,NA
1991,12,14,NA,NA
1991,12,15,NA,NA
1991,12,16,NA,NA
1991,12,17,NA,NA
1991,12,18,NA,NA
1991,12,19,NA,NA
1991,12,20,NA,NA
1991,12,21,NA,NA
1991,12,22,NA,NA
1991,12,23,NA,NA
1991,12,24,NA,NA
1991,12,25,NA,NA
1991,12,26,NA,NA
1991,12,27,NA,NA
1991,12,28,NA,NA
1991,12,29,NA,NA
1991,12,30,NA,NA
1991,12,31,NA,NA
1992,1,1,NA,NA
1992,1,2,NA,NA
1992,1,3,NA,NA
1992,1,4,NA,NA
1992,1,5,NA,NA
1992,1,6,NA,NA
1992,1,7,NA,NA
1992,1,8,NA,NA
1992,1,9,NA,NA
1992,1,10,NA,NA
1992,1,11,NA,NA
1992,1,12,NA,NA
1992,1,13,NA,NA
1992,1,14,NA,NA
1992,1,15,NA,NA
1992,1,16,NA,NA
1992,1,17,NA,NA
1992,1,18,NA,NA
1992,1,19,NA,NA
1992,1,20,NA,NA
1992,1,21,NA,NA
1992,1,22,NA,NA
1992,1,23,NA,NA
1992,1,24,NA,NA
1992,1,25,NA,NA
1992,1,26,NA,NA
1992,1,27,NA,NA
1992,1,28,NA,NA
1992,1,29,NA,NA
1992,1,30,NA,NA
1992,1,31,NA,NA
1992,2,1,NA,NA
1992,2,2,NA,NA
1992,2,3,NA,NA
1992,2,4,NA,NA
1992,2,5,NA,NA
1992,2,6,NA,NA
1992,2,7,NA,NA
1992,2,8,NA,NA
1992,2,9,NA,NA
1992,2,10,NA,NA
1992,2,11,6,4
1992,2,12,NA,NA
1992,2,13,NA,NA
1992,2,14,NA,NA
1992,2,15,NA,NA
1992,2,16,NA,NA
1992,2,17,NA,NA
1992,2,18,NA,NA
1992,2,19,NA,NA
1992,2,20,NA,NA
1992,2,21,NA,NA
1992,2,22,NA,NA
1992,2,23,NA,NA
1992,2,24,NA,NA
1992,2,25,NA,NA
1992,2,26,NA,NA
1992,2,27,NA,NA
1992,2,28,NA,NA
1992,2,29,NA,NA
1992,3,1,NA,NA
1992,3,2,NA,NA
1992,3,3,NA,NA
1992,3,4,NA,NA
1992,3,5,NA,NA
1992,3,6,NA,NA
1992,3,7,NA,NA
1992,3,8,NA,NA
1992,3,9,NA,NA
1992,3,10,NA,NA
1992,3,11,NA,NA
1992,3,12,NA,NA
1992,3,13,NA,NA
1992,3,14,NA,NA
1992,3,15,NA,NA
1992,3,16,7,-1
1992,3,17,NA,NA
1992,3,18,NA,NA
1992,3,19,NA,NA
1992,3,20,NA,NA
1992,3,21,NA,NA
1992,3,22,NA,NA
1992,3,23,NA,NA
1992,3,24,NA,NA
1992,3,25,NA,NA
1992,3,26,NA,NA
1992,3,27,NA,NA
1992,3,28,NA,NA
1992,3,29,NA,NA
1992,3,30,NA,NA
1992,3,31,NA,NA
1992,4,1,NA,NA
1992,4,2,NA,NA
1992,4,3,NA,NA
1992,4,4,NA,NA
1992,4,5,NA,NA
1992,4,6,NA,NA
1992,4,7,NA,NA
1992,4,8,NA,NA
1992,4,9,NA,NA
1992,4,10,NA,NA
1992,4,11,NA,NA
1992,4,12,NA,NA
1992,4,13,NA,NA
1992,4,14,9,4
1992,4,15,9,6
1992,4,16,NA,NA
1992,4,17,NA,NA
1992,4,18,NA,NA
1992,4,19,NA,NA
1992,4,20,NA,NA
1992,4,21,NA,NA
1992,4,22,11,5
1992,4,23,NA,NA
1992,4,24,NA,NA
1992,4,25,NA,NA
1992,4,26,NA,NA
1992,4,27,NA,NA
1992,4,28,10,8
1992,4,29,10,8
1992,4,30,NA,NA
1992,5,1,NA,NA
1992,5,2,NA,NA
1992,5,3,NA,NA
1992,5,4,NA,NA
1992,5,5,16,9
1992,5,6,NA,NA
1992,5,7,NA,NA
1992,5,8,NA,NA
1992,5,9,NA,NA
1992,5,10,NA,NA
1992,5,11,NA,NA
1992,5,12,NA,NA
1992,5,13,NA,NA
1992,5,14,NA,NA
1992,5,15,NA,NA
1992,5,16,NA,NA
1992,5,17,NA,NA
1992,5,18,NA,NA
1992,5,19,17,13
1992,5,20,NA,NA
1992,5,21,NA,NA
1992,5,22,NA,NA
1992,5,23,NA,NA
1992,5,24,NA,NA
1992,5,25,NA,NA
1992,5,26,18,14
1992,5,27,18,13
1992,5,28,NA,NA
1992,5,29,NA,NA
1992,5,30,NA,NA
1992,5,31,NA,NA
1992,6,1,NA,NA
1992,6,2,23,16
1992,6,3,NA,NA
1992,6,4,22,15
1992,6,5,NA,NA
1992,6,6,NA,NA
1992,6,7,NA,NA
1992,6,8,NA,NA
1992,6,9,NA,NA
1992,6,10,NA,NA
1992,6,11,NA,NA
1992,6,12,NA,NA
1992,6,13,NA,NA
1992,6,14,NA,NA
1992,6,15,25,16
1992,6,16,NA,NA
1992,6,17,22,13
1992,6,18,16,12
1992,6,19,NA,NA
1992,6,20,22,18
1992,6,21,19,14
1992,6,22,NA,NA
1992,6,23,NA,NA
1992,6,24,NA,NA
1992,6,25,NA,NA
1992,6,26,NA,NA
1992,6,27,NA,NA
1992,6,28,NA,NA
1992,6,29,NA,NA
1992,6,30,NA,NA
1992,7,1,NA,NA
1992,7,2,NA,NA
1992,7,3,NA,NA
1992,7,4,NA,NA
1992,7,5,NA,NA
1992,7,6,NA,NA
1992,7,7,NA,NA
1992,7,8,NA,NA
1992,7,9,NA,NA
1992,7,10,NA,NA
1992,7,11,NA,NA
1992,7,12,NA,NA
1992,7,13,NA,NA
1992,7,14,NA,NA
1992,7,15,NA,NA
1992,7,16,NA,NA
1992,7,17,NA,NA
1992,7,18,NA,NA
1992,7,19,NA,NA
1992,7,20,NA,NA
1992,7,21,NA,NA
1992,7,22,NA,NA
1992,7,23,NA,NA
1992,7,24,NA,NA
1992,7,25,NA,NA
1992,7,26,NA,NA
1992,7,27,NA,NA
1992,7,28,NA,NA
1992,7,29,NA,NA
1992,7,30,NA,NA
1992,7,31,NA,NA
1992,8,1,NA,NA
1992,8,2,NA,NA
1992,8,3,NA,NA
1992,8,4,NA,NA
1992,8,5,NA,NA
1992,8,6,NA,NA
1992,8,7,NA,NA
1992,8,8,NA,NA
1992,8,9,NA,NA
1992,8,10,NA,NA
1992,8,11,NA,NA
1992,8,12,NA,NA
1992,8,13,NA,NA
1992,8,14,NA,NA
1992,8,15,NA,NA
1992,8,16,NA,NA
1992,8,17,NA,NA
1992,8,18,NA,NA
1992,8,19,NA,NA
1992,8,20,NA,NA
1992,8,21,NA,NA
1992,8,22,NA,NA
1992,8,23,NA,NA
1992,8,24,NA,NA
1992,8,25,NA,NA
1992,8,26,NA,NA
1992,8,27,NA,NA
1992,8,28,NA,NA
1992,8,29,NA,NA
1992,8,30,NA,NA
1992,8,31,NA,NA
1992,9,1,NA,NA
1992,9,2,NA,NA
1992,9,3,NA,NA
1992,9,4,NA,NA
1992,9,5,NA,NA
1992,9,6,NA,NA
1992,9,7,NA,NA
1992,9,8,NA,NA
1992,9,9,NA,NA
1992,9,10,NA,NA
1992,9,11,NA,NA
1992,9,12,NA,NA
1992,9,13,NA,NA
1992,9,14,NA,NA
1992,9,15,NA,NA
1992,9,16,NA,NA
1992,9,17,NA,NA
1992,9,18,NA,NA
1992,9,19,NA,NA
1992,9,20,NA,NA
1992,9,21,NA,NA
1992,9,22,NA,NA
1992,9,23,NA,NA
1992,9,24,NA,NA
1992,9,25,NA,NA
1992,9,26,NA,NA
1992,9,27,NA,NA
1992,9,28,NA,NA
1992,9,29,NA,NA
1992,9,30,NA,NA
1992,10,1,NA,NA
1992,10,2,NA,NA
1992,10,3,NA,NA
1992,10,4,NA,NA
1992,10,5,NA,NA
1992,10,6,NA,NA
1992,10,7,NA,NA
1992,10,8,NA,NA
1992,10,9,NA,NA
1992,10,10,NA,NA
1992,10,11,NA,NA
1992,10,12,NA,NA
1992,10,13,NA,NA
1992,10,14,NA,NA
1992,10,15,NA,NA
1992,10,16,NA,NA
1992,10,17,NA,NA
1992,10,18,NA,NA
1992,10,19,NA,NA
1992,10,20,NA,NA
1992,10,21,NA,NA
1992,10,22,NA,NA
1992,10,23,NA,NA
1992,10,24,NA,NA
1992,10,25,NA,NA
1992,10,26,NA,NA
1992,10,27,NA,NA
1992,10,28,NA,NA
1992,10,29,NA,NA
1992,10,30,NA,NA
1992,10,31,NA,NA
1992,11,1,NA,NA
1992,11,2,NA,NA
1992,11,3,NA,NA
1992,11,4,NA,NA
1992,11,5,NA,NA
1992,11,6,NA,NA
1992,11,7,NA,NA
1992,11,8,NA,NA
1992,11,9,NA,NA
1992,11,10,NA,NA
1992,11,11,NA,NA
1992,11,12,NA,NA
1992,11,13,NA,NA
1992,11,14,NA,NA
1992,11,15,NA,NA
1992,11,16,NA,NA
1992,11,17,NA,NA
1992,11,18,NA,NA
1992,11,19,NA,NA
1992,11,20,NA,NA
1992,11,21,NA,NA
1992,11,22,NA,NA
1992,11,23,NA,NA
1992,11,24,NA,NA
1992,11,25,NA,NA
1992,11,26,NA,NA
1992,11,27,NA,NA
1992,11,28,NA,NA
1992,11,29,NA,NA
1992,11,30,NA,NA
1992,12,1,NA,NA
1992,12,2,NA,NA
1992,12,3,NA,NA
1992,12,4,NA,NA
1992,12,5,NA,NA
1992,12,6,NA,NA
1992,12,7,NA,NA
1992,12,8,NA,NA
1992,12,9,NA,NA
1992,12,10,NA,NA
1992,12,11,NA,NA
1992,12,12,NA,NA
1992,12,13,NA,NA
1992,12,14,NA,NA
1992,12,15,NA,NA
1992,12,16,NA,NA
1992,12,17,NA,NA
1992,12,18,NA,NA
1992,12,19,NA,NA
1992,12,20,NA,NA
1992,12,21,NA,NA
1992,12,22,NA,NA
1992,12,23,NA,NA
1992,12,24,NA,NA
1992,12,25,NA,NA
1992,12,26,NA,NA
1992,12,27,NA,NA
1992,12,28,NA,NA
1992,12,29,NA,NA
1992,12,30,NA,NA
